Transaction_ID,Products,City,Previous_Sessions,Days_Since_Last_Session,Source,Medium,Session_Duration,Revenue,Tax,Shipping,Quantity
254,Habanero Hot Sauce Pack,San Francisco,2,0,paypal.com,referral,73,$36.00 ,$0.00 ,$6.00 ,1
259,Habanero Hot Sauce Pack,New York,1,0,google,organic,431,$36.00 ,$0.00 ,$6.00 ,1
260,Habanero Hot Sauce Pack,Minneapolis,1,0,eater.com,referral,655,$36.00 ,$0.00 ,$6.00 ,1
266,Habanero Hot Sauce Pack,Los Angeles,1,0,eater.com,referral,1018,$36.00 ,$0.00 ,$6.00 ,1
267,Ghost Pepper Sauce Pack,Fairview,1,0,eater.com,referral,389,$36.00 ,$0.00 ,$6.00 ,1
268,Habanero Hot Sauce Pack,Atlanta,1,0,(direct),(none),212,$36.00 ,$0.00 ,$6.00 ,1
270,Habanero Hot Sauce Pack,Norman,3,0,eater.com,referral,227,$36.00 ,$0.00 ,$6.00 ,1
271,Habanero Hot Sauce Pack,Mountain View,3,0,google,organic,135,$36.00 ,$0.00 ,$6.00 ,1
272,Habanero Hot Sauce Pack,New York,1,0,google,organic,322,$36.00 ,$0.00 ,$6.00 ,1
277,Habanero Hot Sauce Pack,Houston,1,0,eater.com,referral,1129,$36.00 ,$0.00 ,$6.00 ,1
282,Brooklyn Grange Hot Sauce,New York,2,0,(direct),(none),1788,$36.00 ,$0.00 ,$6.00 ,3
287,Ghost Pepper Sauce Pack,New York,1,0,google,organic,178,$36.00 ,$0.00 ,$6.00 ,1
289,$36.00 Gift Certificate,Cranbury Township,2,0,paypal.com,referral,80,$36.00 ,$0.00 ,$0.00 ,1
342,Ghost Pepper Sauce Pack,Beaumont,1,0,google,organic,325,$36.00 ,$0.00 ,$6.00 ,1
364,Secret Aardvark Habanero Hot Sauce 4-Pack,New York,1,0,google,organic,3177,$36.00 ,$0.00 ,$6.00 ,1
365,Habanero,New York,1,0,google,organic,465,$36.00 ,$0.00 ,$6.00 ,3
390,Ghost Pepper Sauce Pack,Fairbanks,4,7,google,cpc,1843,$36.00 ,$0.00 ,$6.00 ,1
397,Brooklyn Grange Hot Sauce,New York,2,0,paypal.com,referral,237,$36.00 ,$0.00 ,$6.00 ,3
402,Ghost Pepper Sauce Pack,Los Angeles,2,0,paypal.com,referral,737,$36.00 ,$0.00 ,$6.00 ,1
158,Foo Foo Mama Choo,Bon Air,2,0,paypal.com,referral,34,$35.00 ,$0.00 ,$0.00 ,3
182,Drunken Jerk Sauce,Hudson,1,0,(direct),(none),1431,$35.00 ,$0.00 ,$6.00 ,3
187,Black Label,Aurora,1,0,google,cpc,675,$35.00 ,$0.00 ,$6.00 ,3
191,Habenero Carrot Curry,Waterloo,3,0,paypal.com,referral,68,$35.00 ,$0.00 ,$6.00 ,3
220,Foo Foo Mama Choo,Atlanta,11,0,paypal.com,referral,45,$35.00 ,$0.00 ,$6.00 ,3
285,$35.00 Gift Certificate,New York,2,0,(direct),(none),352,$35.00 ,$0.00 ,$0.00 ,1
343,Habanero Carrot Curry,Eau Claire,1,0,(direct),(none),2376,$35.00 ,$0.00 ,$6.00 ,3
356,Drunken Garlic Black Bean,New York,3,0,paypal.com,referral,408,$35.00 ,$0.00 ,$6.00 ,3
221,Black Label,Washington,2,0,paypal.com,referral,167,$34.00 ,$0.00 ,$6.00 ,3
261,Ghost Chili Apple,Wilkes-Barre,5,0,paypal.com,referral,126,$34.00 ,$0.00 ,$6.00 ,3
327,$34.00 Gift Certificate,Richmond,16,0,google,organic,1394,$34.00 ,$0.00 ,$0.00 ,1
